cfg,label,n,rmse_mean,rmse_std,r2med_mean,r2med_std,mse_mean,mse_std,rnd_rmse,rnd_r2med
transformer_bidir_on,"Transformer (proposed), time (sinusoidal)",3,1.0281726320584614,0.03600547682631068,0.8670916229462892,0.009432584716012216,1.0584353556755144,0.07364290715971915,0.30722948908805847,
transformer_off,"Transformer, causal, none",3,1.2109516859054565,0.018333788855699123,0.8135359497432222,0.005067672402573163,1.466740113411073,0.044346166023478156,0.32792433351278305,
transformer_on,"Transformer, causal, time (sinusoidal)",3,1.2018343210220337,0.005147602734789147,0.8150668391196639,0.0012311100375689897,1.444432233000408,0.012377973081199057,0.339883167296648,
transformer_bidir_off,"Transformer (bidir), none",3,1.3648043076197307,0.10042453373605019,0.7602382127063722,0.033293451894178046,1.8727758850734755,0.28124738727582854,0.3580732703208923,
lstm_off,"LSTM, none",3,1.280707557996114,0.019308050847954054,0.7500326341564533,0.003754694031663223,1.6405846499359171,0.04927360941743602,,
mlp_off,"MLP, none",3,1.7732608715693157,0.03280118905527877,0.6735425256557215,0.00165761300015093,3.1455300366422088,0.11560153697595266,,
