cfg,label,n,rmse_mean,rmse_std,r2med_mean,r2med_std,mse_mean,mse_std,rnd_rmse,rnd_r2med
transformer_bidir_on,"Transformer (proposed), time (sinusoidal)",3,1.1499158938725789,0.010073901269645214,0.8839893956811165,0.006265877964105289,1.3224080464675627,0.02311597660453191,nan,nan
transformer_off,"Transformer, causal, none",3,1.2687403758366902,0.009337335836375688,0.8663556514509135,0.002677702494838471,1.6097893271187473,0.02366827259390765,nan,nan
transformer_on,"Transformer, causal, time (sinusoidal)",3,1.3824960788091023,0.006011110712882777,0.8485927373011813,0.004622608068894706,1.9113315413745464,0.0165958532544963,nan,nan
transformer_bidir_off,"Transformer (bidir), none",3,1.4806568622589111,0.050523467649958166,0.8005689043389151,0.009978919261536191,2.1948973645377805,0.15141877319979255,nan,nan
lstm_off,"LSTM, none",3,1.4647231896718342,0.042004219857211963,0.8036772381184787,0.01180843549685396,2.1471783768482453,0.12201826293630369,nan,nan
mlp_off,"MLP, none",3,1.766371488571167,0.02785837527659966,0.7457279897235519,0.008175760946981789,3.120844324710172,0.09872270601266978,nan,nan
