converged,dr_0,dr_1,dr_2,dr_3,dr_4,dr_5,dr_6,dr_7,dr_max,dz_0,dz_1,dz_2,dz_3,dz_4,dz_5,dz_6,dz_7,dz_max,iters,k,method,phase,pred_elong,pred_sqli,pred_sqlo,pred_squi,pred_squo,pred_tril,pred_triu,rel_change,rmse_8ctrl_m,shot,t
True,-0.17589081926418704,-0.13385592132116653,-0.05184702873229985,-0.015058224073038806,0.002323674249604002,-0.006878383417902256,-0.030130100250244096,-0.13330419137967375,0.17589081926418704,0.0034766260534524474,-0.07424593110618627,-0.11525475067972824,-0.0727357664488889,0.022226626053452492,0.1330952199678696,0.1777761454491903,0.12680370029536164,0.1777761454491903,,0,GeneralPprimeFFprime,ramp_up,1.223696648925651,0.012979306800867996,-0.03801550981611702,-0.0022041669735692634,-0.014907971875083572,0.05886294241918261,0.058444930959139475,0.0023271701310312756,0.14163817712254714,159735,0.6920000000000001
True,-0.1041089118033156,-0.006579792158358799,0.10557092295822779,0.004470274438658439,-0.009891037704732986,-0.0013079978764469757,0.05782010555267325,-0.04564296895058506,0.10557092295822779,-0.03858267331961551,-0.1527983856408145,-0.25862057706962416,-0.11358244445462218,-0.022845720872282982,0.08145337195769975,0.179291367472718,0.10116658119217192,0.25862057706962416,,1,GeneralPprimeFFprime,ramp_up,1.4913377567190464,-0.00845879270965743,-0.10430058945944735,0.0067890031070151815,-0.07372778676781518,0.24790969834563345,0.20186455208808035,0.0026024531564307176,0.150719667465977,159735,1.084
True,-0.10148445101280013,-0.06518636771344744,-0.011262512207031339,-0.032439469202586,-0.0336477698539035,-0.0344484295311962,-0.03826462979994938,-0.07618815156402503,0.10148445101280013,0.010028793476521969,-0.035567580794056364,-0.06890930760350156,-0.028422070791383258,-0.00053524284157902,0.0368545241574908,0.05315448686800894,0.03434195371885029,0.06890930760350156,,2,GeneralPprimeFFprime,ramp_up,1.7462355495419493,-0.3125625186010631,-0.18206613886410883,-0.044742682264838116,-0.12314555094248796,0.5706198991442191,0.41971992918712187,0.005809343777530717,0.06855695688803463,159735,1.476
True,-0.0951049586174455,-0.07745831940055936,-0.043294644355774015,-0.03764249241242279,-0.03523130555282661,-0.028846744674408953,-0.008256079540844175,-0.06903778028713958,0.0951049586174455,-0.015139921987429306,-0.013095223511366327,-0.013290343031119534,0.004931143072074873,0.04961455808952442,0.030174434601320632,0.04475121476067434,0.028634479797051804,0.04961455808952442,,3,GeneralPprimeFFprime,flat_top,1.6952630106945827,-0.23518478244990224,-0.19646255566908524,0.028863894284162153,-0.11120928776691483,0.5617873700666622,0.39813733901206266,0.00696886474515084,0.06328530875007322,159735,1.868
False,-0.2322650851288306,-0.14557023932812196,-0.0004795074462891069,-0.04410842218984623,-0.06654903428489867,-0.028230993693229234,0.09643951679345397,-0.0958147901257318,0.2322650851288306,0.01697297203354542,-0.076874888346253,-0.14300272367923583,-0.10859324121457087,0.008054303005337715,0.14482052614765362,0.27963874929542065,0.16093999062094255,0.27963874929542065,,9,GeneralPprimeFFprime,flat_top,1.4511392534367038,-0.011595395242548838,-0.043218085950223785,0.01570277809016244,-0.03265752595055669,0.12385819098473642,0.12409819613315501,0.9070823170348182,0.18178553060302907,159735,4.22
False,,,,,,,,,,,,,,,,,,,,15,err:IndexError,flat_top,,,,,,,,0.9994896822344157,,159735,6.572
False,,,,,,,,,,,,,,,,,,,,21,err:IndexError,flat_top,,,,,,,,0.9995191343334889,,159735,8.924
False,-0.2753884105650375,-0.20709061319621425,-0.05984938144683838,0.009215609343915743,0.032611309688677315,0.0291024972504923,0.038285135648275403,-0.17236376168620682,0.2753884105650375,0.0006806578021496534,0.11986567433661233,0.1935192863090741,0.14409552080944016,0.03744642809033394,-0.11358613889153091,-0.14622838254780446,-0.07793352970708456,0.1935192863090741,,27,GeneralPprimeFFprime,flat_top,3.1475949343781426,-0.1355828170778714,-0.25999558417231794,0.041412118193760186,-0.1826743968541123,0.44153115256840636,0.3067676852003269,0.968885393183785,0.18365032765864353,159735,11.668000000000001
False,,,,,,,,,,,,,,,,,,,,33,err:IndexError,flat_top,,,,,,,,0.9994411063692915,,159735,14.02
True,-0.026693480563157568,-0.04540176073582236,-0.07163729667663565,-0.03109115012463448,-0.021595743384291932,-0.010641916556767272,0.009126166091049548,-0.01705060993327212,0.07163729667663565,-0.003079653950408101,0.03325789126823264,0.05721312472412976,0.03361758575439744,0.020982660353183746,0.010380237693737693,0.009334303088109785,0.007999777227108762,0.05721312472412976,,44,GeneralPprimeFFprime,ramp_down,1.6246428809900113,-0.29194076786542256,-0.19941906777437332,-0.028685104967331853,-0.14695730421596548,0.5858974650184247,0.49022847301757594,0.007508979341279418,0.04478317587729428,159735,18.332
False,0.05206583150567923,0.017061058225297465,-0.055052900314330966,-0.005579631230526294,0.00457476464509865,0.008660292862634922,0.012087885798730547,0.04465916606611353,0.055052900314330966,-0.0014040186069905758,0.03909819115317664,0.05872636353997418,0.028788369587331553,0.02470201626420021,0.019557704536807996,0.004559847292621266,-0.0025457525816575677,0.05872636353997418,,45,GeneralPprimeFFprime,ramp_down,1.466392276916723,-0.3671805369820476,-0.11939495836186623,-0.013314161422987218,-0.11752679069574196,0.7502676798354398,0.6276350145468053,0.01670809547961202,0.043486397546088566,159735,18.724
True,0.07693692539786978,0.0845332003760868,0.0768120288848877,0.04029585409594172,0.02685631718224224,0.061406230308175935,0.2265717097777893,0.11730706389186984,0.2265717097777893,-0.008198223076760769,-0.016111440657870346,-0.029509435671126183,-0.028509315362758636,0.003941129893064499,-0.10948157927752067,0.044358626765346965,0.0323110566285173,0.10948157927752067,,46,GeneralPprimeFFprime,ramp_down,1.2387653754825578,0.25361824227457475,-0.05419676902570845,0.21045208637252352,-0.07810129270787669,0.5037971960940401,0.5235747628120562,0.0068333535619483745,0.11575863250245846,159735,19.116
True,-0.32638875608190965,-0.25540945376572965,-0.09655683040618901,-0.02294130697133845,0.0023026256450986438,-0.03516918179827799,-0.12817385196685782,-0.2674977758808952,0.32638875608190965,-0.011985070072114468,-0.177594529059595,-0.25179639043574786,-0.18729398777624168,-0.012389036826789379,0.1479253124585918,0.21265334240914513,0.145908281839363,0.25179639043574786,,0,GeneralPprimeFFprime,ramp_up,1.1296332248454015,0.012940059402445109,-0.01637665971766274,0.008375979597217897,-0.012949413658289057,0.035556215817638195,0.004396952348330562,0.005845100599903503,0.24737342215070615,158634,0.527
True,-0.13064934113464322,-0.08993618898514555,-0.008786940574645907,-0.002266463593005863,0.0025382170872756404,-0.007175098345242548,-0.022566699981689364,-0.09554983490620739,0.13064934113464322,0.007947494462132498,-0.10435079365849087,-0.15994238561050755,-0.12008957409115623,-0.031175758689641953,0.059630600730928796,0.10263207526244345,0.07131070355649954,0.15994238561050755,,1,GeneralPprimeFFprime,ramp_up,1.2955887409673106,0.00470710795570684,-0.04144202684184975,0.012062659214656974,-0.042061333789397866,0.09397987594646906,0.05855736840577799,0.00509494474467701,0.11512964768264802,158634,0.754
True,-0.17044301050643584,-0.10912263978787085,-0.010828828811645597,-0.004586071647259882,0.00261283594554218,-0.0002927244949229024,0.007484483718872115,-0.10267031066889576,0.17044301050643584,0.0024120218586176634,-0.13104424692116184,-0.211990846244272,-0.14353768121515242,0.0024120218586176634,0.15386133234797583,0.23023708643416363,0.14450380006564545,0.23023708643416363,,2,GeneralPprimeFFprime,ramp_up,1.302695905833172,-0.0009008413021676577,-0.05658996432222485,0.012973587344528335,-0.04956624631793577,0.12830959808420533,0.0909882287118004,0.0027196099954579253,0.17029099274662968,158634,0.981
