converged,dr_0,dr_1,dr_2,dr_3,dr_4,dr_5,dr_6,dr_7,dr_max,dz_0,dz_1,dz_2,dz_3,dz_4,dz_5,dz_6,dz_7,dz_max,iters,k,method,phase,pred_elong,pred_sqli,pred_sqlo,pred_squi,pred_squo,pred_tril,pred_triu,rel_change,rmse_8ctrl_m,shot,t
True,-0.3169796108262757,-0.25609435157438787,-0.12812294960021964,-0.03186155046118788,0.00260982902146778,-0.030705616254003365,-0.1272768020629882,-0.25963659963308094,0.3169796108262757,-0.014851677650585815,-0.14038823408040907,-0.20068931606530804,-0.14019327495189815,0.023137121181935116,0.17548422517566692,0.22975769060415863,0.15593035591838367,0.22975769060415863,,0,GeneralPprimeFFprime,ramp_up,1.1263770824753414,0.013090268220961094,-0.015364231668367968,-0.0005902327788602309,0.001222956725952772,0.027656054606935866,0.030376886035190422,0.003632093248414359,0.23883674601122362,159348,0.537
True,-0.1560779010915061,-0.11578494922926597,-0.04542274475097652,-0.013258238099132402,0.0023229289366797357,-0.005429307404089645,-0.023406720161438077,-0.11179516558838554,0.1560779010915061,0.03297041729092598,-0.064505427485952,-0.11855685465954346,-0.07169724957913154,0.03297041729092598,0.14716253430438947,0.19532895084651036,0.14134464747721887,0.19532895084651036,,1,GeneralPprimeFFprime,ramp_up,1.2721057711473471,-0.006830096102998426,-0.028529482774938622,0.0053937606762903805,-0.02990683124062144,0.09492011705149196,0.09529488082532951,0.0022569858501817306,0.14071521309665153,159348,0.764
True,-0.10828096614786764,-0.027230083717989295,0.06692752517579725,-0.03283956223517892,-0.04908646827979646,-0.06440900361158275,-0.11529242992401123,-0.11788903957791064,0.11788903957791064,-0.022182056680321693,-0.12144039449165245,-0.21418029028734487,-0.1051108559879721,-0.07710345834493637,-0.04057274721951121,-0.039760999395331176,-0.024609512815237378,0.21418029028734487,,2,GeneralPprimeFFprime,ramp_up,1.6347204840469693,-0.0693122303987369,-0.11731224332452385,-0.019455523925657924,-0.10114623394576772,0.3237608419931598,0.1790122093432089,0.0035432304967678236,0.1292822033743065,159348,0.991
True,-0.10352351991991782,-0.010483604758097176,0.09275082318443362,-0.0073619607885586635,-0.020714081843234755,-0.014397561136472614,0.050932715911128135,-0.039337996215881965,0.10352351991991782,-0.04357262924313554,-0.14178615511340031,-0.2397620924203132,-0.09937279131992749,-0.028046583756804466,0.058000188545783704,0.18526883455894416,0.09297149873740518,0.2397620924203132,,3,GeneralPprimeFFprime,ramp_up,1.5371436382906167,-0.04978186813452099,-0.11448874296974706,-0.001514721110960158,-0.07659073385378112,0.30664432316731327,0.21123382306426894,0.0035800051092403375,0.1417495568990391,159348,1.218
True,-0.10807877038500768,-0.07443632794355004,-0.010582971572876021,-0.031280161041286725,-0.03301395512019578,-0.022756792727021358,0.046795093712868274,-0.036368094764932746,0.10807877038500768,0.04500467088073501,-0.05029693549250169,-0.09959329448475607,-0.05686269328986726,-0.0029792136047035456,0.04741556248194667,0.15458710128186748,0.09531266144654182,0.15458710128186748,,4,GeneralPprimeFFprime,ramp_up,1.5962068927259572,-0.05067165929679278,-0.14049210269790174,-0.019581033549310303,-0.09610783382030663,0.31649931546876425,0.3025917484600313,0.0026425451646419837,0.09771043071080139,159348,1.445
True,-0.1117473747562241,-0.07864227376022015,-0.014826488494873002,-0.03951680965537574,-0.04251563653381485,-0.03864472879622549,-0.029219277034857383,-0.08011251690642762,0.1117473747562241,0.02284911852329974,-0.03409024850894282,-0.06408612091463484,-0.030543192102859662,-0.00622697314247489,0.02101659120316579,0.044581487086130966,0.03403551782321257,0.06408612091463484,,5,GeneralPprimeFFprime,flat_top,1.7560833562871054,-0.2668243668572777,-0.20270685374222006,-0.011729335054937692,-0.12377382307538239,0.5192328002632124,0.3633622191761344,0.005467771382635701,0.07191731747784978,159348,1.672
False,-0.5557265406525596,-0.36478447831365024,0.03805389404296866,0.11168313450401146,0.07462426035983949,0.06373835280867124,0.03477725707482637,-0.3470378552601918,0.5557265406525596,0.1765683054924012,-0.23228111399580104,-0.428085865967862,-0.28566277327018147,0.13774444162845612,0.4974498276681907,0.6951181399266821,0.5160290653637618,0.6951181399266821,,11,GeneralPprimeFFprime,flat_top,1.3344497517570522,-0.36562764627306965,-0.3350656834685871,-0.7248572428845658,-0.006430480371221493,0.013924852311418316,-0.7690349829662437,0.880224319687609,0.4940892772989494,159348,3.0340000000000003
False,-0.3317321226849157,-0.24370591082471105,-0.09602296352386475,-0.06689939075507123,-0.07055674674330903,-0.07525193087077864,0.012346512876228788,-0.18163093797522478,0.3317321226849157,0.04108569039963195,0.04965691880468137,0.021894576167586832,0.04545707473990457,0.17966097593307495,0.013034312638160794,0.11080353754458816,0.037080215677299244,0.17966097593307495,,17,GeneralPprimeFFprime,flat_top,2.218766639306731,0.22873434994730826,0.0036973512149002397,-0.09024933195434721,0.002317467752314239,0.18500166580682886,0.15499955290110984,0.8828647620451684,0.18698861575524148,159348,4.396
False,,,,,,,,,,,,,,,,,,,,23,err:IndexError,flat_top,,,,,,,,0.9989965036660837,,159348,5.758
False,,,,,,,,,,,,,,,,,,,,29,err:IndexError,flat_top,,,,,,,,0.9987107823386047,,159348,7.12
