converged,dr_0,dr_1,dr_2,dr_3,dr_4,dr_5,dr_6,dr_7,dr_max,dz_0,dz_1,dz_2,dz_3,dz_4,dz_5,dz_6,dz_7,dz_max,iters,k,method,phase,pred_elong,pred_sqli,pred_sqlo,pred_squi,pred_squo,pred_tril,pred_triu,rel_change,rmse_8ctrl_m,shot,t
False,,,,,,,,,,,,,,,,,,,,0,err:IndexError,ramp_up,,,,,,,,0.18616550194681297,,158221,0.455
True,-0.23039829518191945,-0.1779621200261028,-0.08551092147827166,-0.020366968188645806,0.0025403675828736816,-0.015156637270456796,-0.06364617347717294,-0.17738695242963676,0.23039829518191945,-0.0021874425001442432,-0.12397841373044882,-0.19116354451432804,-0.13980051007226008,-0.0021874425001442432,0.14694975928346998,0.20465739030363683,0.13909989742852275,0.20465739030363683,,1,GeneralPprimeFFprime,ramp_up,1.1989965384789667,0.007674799588733078,-0.03205036765093836,-0.010341793172901508,-0.011220648672063393,0.059436628793201114,0.05940969222495044,0.006179415052161756,0.1879260246598986,158221,0.61
True,-0.08118189865042691,-0.0681180327600317,-0.03940074443817143,-0.011908107946761337,0.0019424171386868139,-0.0015711601553076715,-0.028044581413269043,-0.056868424665963424,0.08118189865042691,0.06404757425189023,0.01072768488479997,-0.013193712179086936,0.006435525193956904,0.04529757425189018,0.11279093594843054,0.12918557889291205,0.09987058465895671,0.12918557889291205,,2,GeneralPprimeFFprime,ramp_up,1.2818210794784604,0.012932902885914078,-0.030678352604888784,0.026142271350971504,-0.03741982053473026,0.10109872355918466,0.10211890983706409,0.002945073109638566,0.08861498498230956,158221,0.765
True,-0.16675986156068845,-0.08659702534786096,0.04068582057952885,0.00661988632221,0.0024006000705101282,-0.006224722875602495,-0.017071986198425204,-0.11319328204073509,0.16675986156068845,-0.017523629427887544,-0.15755857286168318,-0.24720597758139629,-0.1587697714600521,0.0012263705721125007,0.14527359650733507,0.21399734373749035,0.1334064908347179,0.24720597758139629,,3,GeneralPprimeFFprime,ramp_up,1.2949699513819894,-0.012761997693804214,-0.05009006068863816,0.00671618225624885,-0.04823337528191858,0.12632920316398416,0.09213169790935453,0.007856199831159578,0.17546517848563092,158221,0.92
True,-0.11700114175248144,-0.03162172175035893,0.06492805030367155,-0.015582227068783983,-0.022144373760883074,-0.021355465706702548,0.014344954490661532,-0.07074214379997024,0.11700114175248144,-0.0028386919293552637,-0.1334532436683774,-0.24421310681696384,-0.10501355183287697,-0.013011934235692024,0.06040529299569214,0.12916016061257884,0.08187451077821634,0.24421310681696384,,4,GeneralPprimeFFprime,ramp_up,1.4734713133181379,-0.022593905940017176,-0.09945117609121172,-0.03950841614009555,-0.0755812516252598,0.19784397182598012,0.19425165764018967,0.001289748272311779,0.13275631919723602,158221,1.075
True,-0.1163078513193434,-0.05203126005183423,0.06327912807464608,0.0008528604715449806,-0.006790465289371772,0.0042870322430828,0.09224540950858207,-0.019131888284147802,0.1163078513193434,0.03431711918674418,-0.11728598850760663,-0.20106659659462778,-0.10798395361942015,-0.003182880813255906,0.11419968318754437,0.26306322960016393,0.15409768277693925,0.26306322960016393,,5,GeneralPprimeFFprime,ramp_up,1.4353385151428797,-0.005401506885584008,-0.08580099375842926,0.01973357435483035,-0.06938548502441805,0.19882366217298403,0.1565815312748078,0.0033023782695314873,0.1589817256641495,158221,1.23
True,-0.08949122317031932,-0.08051922647331633,-0.06731817722320566,-0.044919757299232144,-0.04125616399311283,-0.03724573585521718,-0.017565445668967783,-0.06424225096452973,0.08949122317031932,0.004563523456454277,0.004366466785061307,0.0012668096509506066,0.009165016584432695,0.06136853396892539,0.03111195679132428,0.043298842544969185,0.02969360314368419,0.06136853396892539,,9,GeneralPprimeFFprime,flat_top,1.77601696395148,-0.25347975850935206,-0.19800054186835694,-0.021673540878840228,-0.12179999984742747,0.4775037946536481,0.3291065646307628,0.005273756528336681,0.0672518761807957,158221,1.85
True,0.04250914806719219,0.03878944803270068,0.02271401882171631,0.020794530362259644,0.024370658091015684,0.023847024371613124,0.023288892366099212,0.03571745613408428,0.04250914806719219,-0.0040090447291731834,0.005565543867835421,0.005785535760310823,0.007368730627431208,-0.014182702638208866,0.005336608927532072,0.01802624377647366,0.010566632297585477,0.01802624377647366,,15,GeneralPprimeFFprime,flat_top,1.5917908973880077,-0.2854380938689472,-0.18077185186362874,0.07551119205370077,-0.10894959360286242,0.6358012948983452,0.3604469589846586,0.004200303819331212,0.031705190396544417,158221,2.7800000000000002
False,-0.7203770435316779,-0.5578521409878814,-0.2170548677444457,-0.1047913489729233,-0.059874246165242395,-0.08831820058558049,-0.11654794619724251,-0.504198618046674,0.7203770435316779,0.014796872343868062,-0.3596130250911062,-0.5379555861115853,-0.38338106151052226,-0.003953127656131983,0.4172478948981901,0.6815466453362082,0.4432977408934322,0.6815466453362082,,21,GeneralPprimeFFprime,flat_top,0.9919273569621707,-0.04361959476194355,-0.040235309375052514,-0.020445811641870825,-0.04054192118653217,-0.012367950950776094,-0.012402789935633323,0.03775663673575315,0.5666203220257214,158221,3.71
False,-0.6405855410257706,-0.4956147712408363,-0.20148396492004395,-0.09745277679992315,-0.05977660691901088,-0.08048586795641732,-0.08492405303884465,-0.4336238162615995,0.6405855410257706,0.033612290304154246,-0.32661635198742056,-0.5031843982573126,-0.3654122495090258,-0.0038877096958458424,0.38330621416996513,0.6364078120826948,0.412309476950693,0.6364078120826948,,27,GeneralPprimeFFprime,flat_top,1.0404279440639963,-0.014157527947036914,-0.011607653074813885,-0.005783866514101089,-0.01572225184320227,0.00479318856469507,0.004718665482792374,0.3485907106633533,0.5157338278506265,158221,4.64
