converged,dr_0,dr_1,dr_2,dr_3,dr_4,dr_5,dr_6,dr_7,dr_max,dz_0,dz_1,dz_2,dz_3,dz_4,dz_5,dz_6,dz_7,dz_max,iters,k,method,phase,pred_elong,pred_sqli,pred_sqlo,pred_squi,pred_squo,pred_tril,pred_triu,rel_change,rmse_8ctrl_m,shot,t
False,,,,,,,,,,,,,,,,,,,,0,err:IndexError,ramp_up,,,,,,,,0.9998240842715402,,156596,0.527
True,-0.08669637606019887,-0.07155427501370548,-0.029177474975585982,-0.006712699245289722,0.0023720466723340383,-0.005881461737656135,-0.028392601013183638,-0.062032688863919105,0.08669637606019887,0.08729350045323381,0.01583372371600983,-0.011458357017258614,0.011599540051271284,0.06854350045323376,0.12004302568426312,0.13974991075618848,0.11621056348740111,0.13974991075618848,,1,GeneralPprimeFFprime,ramp_up,1.232799485604332,0.008083523930334974,-0.03747098482839832,0.014721588668902006,-0.04502372921157689,0.09775534367722022,0.0996209595636551,0.003485020406557026,0.09906263873469949,156596,0.754
True,-0.08847292517290128,-0.03849013074033536,0.025806784629821777,0.004587542917705356,0.002494262931465707,-0.0012449472866451483,-0.002367782592773482,-0.060363543516282814,0.08847292517290128,-0.03372294940054421,-0.10988403697969285,-0.16876064533394586,-0.11892484943980491,-0.026861799880862236,0.06954874590576987,0.11517916934681582,0.06708039571456897,0.16876064533394586,,2,GeneralPprimeFFprime,ramp_up,1.3191441467011165,0.011418902061010048,-0.07311797177235316,0.023332016212888537,-0.05270895668988881,0.15822083465163422,0.11686111128401631,0.007551817071229968,0.10771068794179799,156596,0.981
True,-0.0729985237121582,4.8716718545449567e-05,0.07661367517011519,-0.0049401565082274335,-0.015443244452323812,-0.009788671548395023,0.051133026127405,-0.013772697258672473,0.07661367517011519,-0.0012720627551361598,-0.09898300771553403,-0.18750299540885296,-0.06624351337047052,-0.008036704733967781,0.05142701829817242,0.1656636224993876,0.08901710578215538,0.18750299540885296,,3,GeneralPprimeFFprime,ramp_up,1.4990605320091812,-0.08371413336616547,-0.11221750933272273,-0.040990544060403124,-0.0876712847237071,0.34387238895895544,0.29018852202872264,0.0058701184453734895,0.1127963157277242,156596,1.208
True,-0.07802504282504152,-0.0514523972478651,0.005641150474548384,-0.026597467906580796,-0.03189749127412744,-0.026271170526845466,-0.013846227877509998,-0.05319087723372906,0.07802504282504152,0.023673747852444693,-0.031801479072377625,-0.05744792242592822,-0.020411879998744054,0.0054951929487288,0.03090723330042111,0.05328215233790645,0.0403270008777481,0.05744792242592822,,4,GeneralPprimeFFprime,ramp_up,1.6893814054875596,-0.26916226593769543,-0.2023897576288765,-0.021597278931414148,-0.11281149763927996,0.5055027130920935,0.3505812523568577,0.0025321897098103414,0.0558373913520073,156596,1.435
True,-0.07065693182691035,-0.05185393322652487,-0.014987158775329634,-0.028970824782940774,-0.028317594208166152,-0.022238699580150012,-0.010198937130876384,-0.05004006673124639,0.07065693182691035,0.002057771198451519,-0.014640150631478166,-0.02387003151788003,-0.0036379666295470736,0.0025460657197982073,0.02815350097103758,0.04774616297778245,0.032432293070657536,0.04774616297778245,,5,GeneralPprimeFFprime,ramp_up,1.6983679825012004,-0.26712647666955913,-0.20153627815572153,-0.009853994642900295,-0.10749575060854077,0.5150392050063716,0.3597054717607268,0.004504243655214293,0.046879982321900465,156596,1.6620000000000001
True,-0.10245068611838892,-0.09201424727119889,-0.06038730144500737,-0.05047956009993282,-0.04788347847818386,-0.040652102436161464,-0.02197926948955775,-0.0705926097133398,0.10245068611838892,0.03537123571150014,0.001959085896434787,-0.008414750023906237,0.0011937682459672305,0.03312486745417109,0.029930402957785374,0.04407246219003291,0.0372718930542002,0.04407246219003291,,6,GeneralPprimeFFprime,flat_top,1.71904893317327,-0.26119982985440676,-0.20876953981891258,0.0084598497503126,-0.10745805849139142,0.5090457848605413,0.3029044190315484,0.0008700576820165367,0.07178201373089373,156596,1.889
True,0.03260871959674949,0.025401630693669297,0.016146588325500533,0.020309567057912092,0.02634459093550867,0.02056580070162073,0.013241167064586667,0.029669326251004158,0.03260871959674949,0.019848588923923716,0.022622054583991524,0.026905049748709886,0.03861329279003867,0.04044839814305301,0.0255081444281271,0.022968229170913235,0.017871705732515286,0.04044839814305301,,12,GeneralPprimeFFprime,flat_top,1.5863930939459574,-0.28144655889995357,-0.18713161843469595,0.06471740688465506,-0.09909559739346113,0.6862392243812339,0.39228256807612255,0.0029901826321741785,0.03675700103251257,156596,3.251
True,0.010591363906859996,-0.008168864992341263,-0.03159894943237296,0.0018765487883776188,0.017178223509759727,0.01610736191867268,0.024061328454813458,0.018588252374495795,0.03159894943237296,0.031166439515553215,0.045204702739398306,0.0598213483328186,0.06664329760119181,0.06702329888939862,0.024513442783324235,0.027580750044205016,0.025373431097276522,0.06702329888939862,,18,GeneralPprimeFFprime,flat_top,1.6526260188766995,-0.20051666409091443,-0.1948908849473107,0.07061133990866471,-0.12085874102318664,0.6226461136325536,0.49848079139471607,0.0013710310235572963,0.050239683882170975,156596,4.613
True,0.025963002476259156,0.020857523494396624,0.028682899475097612,0.02773784189244788,0.03524506717165066,0.024917855082286167,0.01103805113373646,0.029259112900363426,0.03524506717165066,0.0399948923382909,0.014629531741678914,0.011922812510198777,0.028875132095506517,0.018435794860124588,0.009165847317250286,0.015945735501557867,0.015528229939061333,0.0399948923382909,,24,GeneralPprimeFFprime,flat_top,1.6408100677792257,-0.2378799085106504,-0.1825777684040746,0.11271355750599805,-0.12003158456267707,0.6930671902795246,0.4488147286719512,0.0027307597530315413,0.034005668498329124,156596,5.9750000000000005
