converged,dr_0,dr_1,dr_2,dr_3,dr_4,dr_5,dr_6,dr_7,dr_max,dz_0,dz_1,dz_2,dz_3,dz_4,dz_5,dz_6,dz_7,dz_max,iters,k,method,phase,pred_elong,pred_sqli,pred_sqlo,pred_squi,pred_squo,pred_tril,pred_triu,rel_change,rmse_8ctrl_m,shot,t
True,-0.2897062279810094,-0.238047386960913,-0.13119959831237793,-0.031575149530655544,0.0026305388981806566,-0.023922466788665497,-0.09752790927886967,-0.23337119451770327,0.2897062279810094,-0.01598266158252959,-0.13608021397257725,-0.19398453946945438,-0.14766305562332221,-0.01449866034090519,0.13518263167529126,0.1917644958976228,0.13087446291892424,0.19398453946945438,,0,GeneralPprimeFFprime,ramp_up,1.1499392042670762,-0.00436952658237404,-0.008669681423477063,0.005265370254895729,-0.005995547447081937,0.05905527537920862,0.02848506667223995,0.002544457256485726,0.21620405435346085,159463,0.527
True,-0.1501194390535061,-0.11879451948751818,-0.039343833923339844,-0.010342157623973058,0.00265171372031503,-0.005197418693897227,-0.028506231307983354,-0.10421008926631625,0.1501194390535061,0.056754264235496565,-0.06087441282634426,-0.10806643254238935,-0.06731877949942117,0.028420845046639442,0.13485114843968843,0.17566452330802584,0.12915822347761308,0.17566452330802584,,1,GeneralPprimeFFprime,ramp_up,1.2563742148626802,0.009014271203878784,-0.034015968734177296,0.013982289703622412,-0.03531745873039262,0.060857599505856216,0.0605950370088584,0.0065564938617236656,0.13213564748030732,159463,0.754
True,-0.11671222161250805,-0.01978751245543986,0.09470595720484809,-0.008302929644258494,-0.020524409196004623,-0.016906096530921788,0.014120531082153276,-0.06889263761220743,0.11671222161250805,-0.03236755626276144,-0.14982125135035607,-0.2552189498156826,-0.10244989837394058,-0.0166841559112072,0.09471099019154883,0.16736024761108614,0.09568338275182309,0.2552189498156826,,2,GeneralPprimeFFprime,ramp_up,1.4925605876394652,0.0016471382967522155,-0.10119980549457679,0.012768394789403639,-0.06521493140733463,0.24976566710421272,0.2020830759668976,0.0016492623040876117,0.14758224516134283,159463,0.981
True,-0.10619888176719439,-0.03678421944835453,0.04699129070461194,-0.024860163458132245,-0.033770842127411216,-0.04551590021607854,-0.09819688796997061,-0.10594145399806942,0.10619888176719439,-0.000439938303316012,-0.08070409490058905,-0.15405929603294788,-0.05403180462600954,-0.03288879618048668,0.015022192834477033,0.0028698320695382806,0.004784825774559853,0.15405929603294788,,3,GeneralPprimeFFprime,ramp_up,1.746151366922111,-0.1018958463968402,-0.15370870240127565,0.00020862241368397425,-0.11278536516140732,0.4578134954662572,0.3361316044659518,0.005346924813736198,0.09620381659611212,159463,1.208
True,-0.10484623683995453,-0.03336623339805467,0.04861942928445684,-0.025606879236214297,-0.03330733231887817,-0.03511171742552999,-0.04022385570893694,-0.08643137355110664,0.10484623683995453,-0.027528068423271268,-0.07330831145311956,-0.12916290686400989,-0.0176884914754728,-0.0006329522584564984,0.034925911123079745,0.050725076538485236,0.028349174840518243,0.12916290686400989,,4,GeneralPprimeFFprime,ramp_up,1.755806148256054,-0.2973697721747215,-0.19063656141778254,0.0070766481520264215,-0.13292669233391124,0.5783316993095916,0.3742301673280552,0.006317761646152519,0.0823718120683642,159463,1.435
True,-0.11346069166280204,-0.09194575825142648,-0.06413123607635507,-0.044176054984595536,-0.040740114469285826,-0.03744862358501999,-0.023374117342772394,-0.0822054310182776,0.11346069166280204,0.005617744754999876,-0.017114039057014196,-0.037137018113441056,-0.020997083563662144,0.051628046296536834,0.03676387698520145,0.05073207064749585,0.035246829419244285,0.051628046296536834,,5,GeneralPprimeFFprime,ramp_up,1.7423748143943292,-0.2361591863890781,-0.1950336863423025,0.005552854665658141,-0.11667832286044322,0.570732655405757,0.4111151607801159,0.006598796699774831,0.07724598184269756,159463,1.6620000000000001
True,-0.08894283470657749,-0.07866678017423157,-0.061948204040527255,-0.03932009182599261,-0.03297319993605563,-0.028410005198103105,-0.013019029136197124,-0.06716793076485672,0.08894283470657749,-0.016442154254764363,0.001982496003246459,0.008549612129354012,0.02284401508363998,0.07754778680391605,0.04406915454074678,0.04602485583985649,0.02952499223006133,0.07754778680391605,,6,GeneralPprimeFFprime,flat_top,1.7248306829379163,-0.24032614221772042,-0.195748648669099,0.018091021942418725,-0.10912475985887454,0.5970933522812654,0.4346633918169393,0.006137785233762885,0.06880525767243892,159463,1.889
False,-0.471411490440369,-0.34092282431091814,-0.10970170497894283,-0.07275106740558557,-0.06899867853138453,-0.04978757612205742,0.021329180058359265,-0.2871306651084069,0.471411490440369,-0.011962080794473931,-0.2634506563790001,-0.4048295802211953,-0.3091798263164384,-0.007445715833455324,0.33615157192218936,0.5420455433605667,0.3357726482244847,0.5420455433605667,,12,GeneralPprimeFFprime,flat_top,1.0650971235504478,-0.0041449354299393885,-0.013523045994192084,0.010120355399524914,-0.011375522927338849,0.016617702023296217,0.016617702023296217,0.026572436377002028,0.40226878057329185,159463,3.251
False,,,,,,,,,,,,,,,,,,,,18,err:IndexError,flat_top,,,,,,,,0.9995950294121215,,159463,4.613
False,-0.341164406094971,-0.19899594046060898,0.022635674476623624,-0.032335264600192426,-0.05340766358084381,-0.02168304070678162,0.08487693394666751,-0.175711104785925,0.341164406094971,-0.0037994645535945892,-0.24507902969864315,-0.3983816749856469,-0.2977298111279847,-0.0600494645535945,0.27115484791337996,0.48384518167022617,0.29616943373161686,0.48384518167022617,,24,GeneralPprimeFFprime,flat_top,1.0623999713932306,-0.00723871389109308,-0.013758204282997887,0.01269993987863515,-0.0169702510144676,0.028843572861195207,0.027664356388013244,0.15848235087095092,0.33640266935930857,159463,5.9750000000000005
