converged,dr_0,dr_1,dr_2,dr_3,dr_4,dr_5,dr_6,dr_7,dr_max,dz_0,dz_1,dz_2,dz_3,dz_4,dz_5,dz_6,dz_7,dz_max,iters,k,method,phase,pred_elong,pred_sqli,pred_sqlo,pred_squi,pred_squo,pred_tril,pred_triu,rel_change,rmse_8ctrl_m,shot,t
False,-0.3188606450083422,-0.26415279590043284,-0.12844514846801758,-0.0563989036852226,-0.03320540333005573,-0.061470095279450465,-0.16314449310302725,-0.2736874113708061,0.3188606450083422,0.11136551499366765,-0.05381235931902495,-0.12052549497442788,-0.06680491240352249,0.08449287712574005,0.19121656318450525,0.2172500717614867,0.1880728574782068,0.2172500717614867,,0,GeneralPprimeFFprime,ramp_up,1.19276706224628,-0.08647920844156129,-0.07658358084906135,-0.007425271380205073,0.004194875226828805,0.04038286598187638,0.03474710252080682,0.055811331332376785,0.23929298259208232,157881,0.51
False,-0.13575365089184288,-0.1395326557581269,-0.13768024444580074,-0.04821453644790452,0.002475441469387718,-0.048731651028957046,-0.1435743808746337,-0.14109961972748053,0.1435743808746337,0.027868812903761864,0.16578150443399986,0.23331738515756983,0.20227829338856673,-0.03488139435648918,-0.24015279186198513,-0.27371615522388193,-0.17417877143118632,0.27371615522388193,,1,GeneralPprimeFFprime,ramp_up,2.303141901901917,0.1793332204172387,-0.08843262653176161,0.24150025461670582,-0.05699314197016776,0.3473433468657239,0.2998608658885693,0.13099411794662294,0.2207501572591102,157881,0.72
True,-0.2721338133550284,-0.22566477356859904,-0.1345768928527833,-0.09188328919284561,-0.07583153739286952,-0.0888946647508968,-0.12469756603240967,-0.21938771887481856,0.2721338133550284,0.006035643815994307,-0.1196507334072272,-0.18258549496848153,-0.13170453741306903,-0.0029415048658847365,0.1325313989300994,0.1855182880545322,0.12156298445791908,0.1855182880545322,,2,GeneralPprimeFFprime,ramp_up,1.2511048220087673,0.0029485747282761987,-0.028770750809759393,-0.003358736557474178,-0.02740291106240148,0.0880435240671043,0.05458186392598384,0.0016962492961042394,0.21232996511068827,157881,0.93
True,-0.11565148781570578,-0.06573402419654961,-0.00017349720001225144,-0.042329214252278646,-0.04549506577776419,-0.04387434271951829,-0.034029498959282645,-0.08709604940357174,0.11565148781570578,-0.02671948000788693,-0.07165071326315542,-0.11392185316490988,-0.055553088719813015,-0.02995278872549534,0.032611064941639234,0.08519486765147666,0.046120420777945426,0.11392185316490988,,3,GeneralPprimeFFprime,ramp_up,1.6673279139167505,-0.2549142299033649,-0.17196364872921457,-0.05111616241157265,-0.11707502176219836,0.46898192377367787,0.2895258889833801,0.0015975593727937103,0.09047410406137875,157881,1.1400000000000001
True,-0.09379635193429214,-0.03707614993042885,0.04790591958789325,-0.023122781614718146,-0.031999982610646516,-0.03164520853255315,-0.016198818452596075,-0.055670661163101265,0.09379635193429214,0.0384494331316092,-0.0753358088687176,-0.1501559522873367,-0.044172546129698675,-0.009357074275612831,0.022635442611935952,0.07364947435234781,0.04799334874262473,0.1501559522873367,,4,GeneralPprimeFFprime,ramp_up,1.7473633396805937,-0.22668667902050318,-0.17256262205747347,-0.037048228431907644,-0.1208730132236338,0.4512164073819133,0.3153950963481423,0.0025690282674641915,0.0854169703402415,157881,1.35
True,-0.08394840854282926,-0.051297399304993885,0.0036897659301757812,-0.02946915699069952,-0.03418778945529333,-0.03153053391592886,-0.02711041205863962,-0.06175690019630942,0.08394840854282926,0.021250324044376656,-0.04451459430054705,-0.08380247316488898,-0.039468846473920904,-0.007842273451387882,0.01930028961173591,0.036163354953993254,0.028361212853042717,0.08380247316488898,,5,GeneralPprimeFFprime,ramp_up,1.782639036762996,-0.29802880638851964,-0.20893175286690643,-0.03927028975759612,-0.11206934091647111,0.4744474534083934,0.31576515500622515,0.005749433795549682,0.06208118830982076,157881,1.56
True,-0.11159332820616497,-0.09249174102039959,-0.06653277873992924,-0.050663529566056464,-0.0457509035893946,-0.04216507408952008,-0.034807103948500506,-0.0854272319357623,0.11159332820616497,-0.0071500991471111774,-0.004540624849780128,-0.010897779370258043,-0.006764155695148932,0.012580049410462424,0.01960663264187479,0.027485749459925768,0.016545276345666382,0.027485749459925768,,9,GeneralPprimeFFprime,flat_top,1.7996554520793369,-0.2939266466549567,-0.2128003021817835,-0.008469967242947437,-0.11297126658909645,0.47013515500763325,0.3078221810655076,0.0032597302103332384,0.07262035604303038,157881,2.4
False,,,,,,,,,,,,,,,,,,,,15,err:IndexError,flat_top,,,,,,,,0.9991925933120677,,157881,3.66
False,,,,,,,,,,,,,,,,,,,,21,err:IndexError,flat_top,,,,,,,,0.28631500694912765,,157881,4.92
False,,,,,,,,,,,,,,,,,,,,27,err:IndexError,flat_top,,,,,,,,0.9528442935306792,,157881,6.18
False,,,,,,,,,,,,,,,,,,,,33,timeout,flat_top,,,,,,,,,,157881,7.44
False,-0.17989107238131385,-0.11673988924693868,-0.021331334114074618,-0.054671983632538,-0.06853412173424012,-0.04809117274703145,0.03362860372362664,-0.083867508642812,0.17989107238131385,-0.006677999161183834,0.004804137022904442,-0.012952127008611702,-0.004691454468623124,0.013735996559262276,0.03220936442432132,0.11515000704478107,0.042307142543966836,0.11515000704478107,,39,GeneralPprimeFFprime,flat_top,1.7772538504272999,-0.08913418162184036,-0.07302334965476862,-0.012589553341696131,-0.05145407467360485,0.2168975518406549,0.17452856959962068,0.8151097797034751,0.10071020426256726,157881,8.91
True,-0.012485840225430422,-0.03467114739257715,-0.07363667488098136,-0.033571782073794854,-0.026761436134449035,-0.014135229889734813,0.011138193708241095,-0.006733583771513008,0.07363667488098136,-0.0021534948609769344,0.049398751305500366,0.078164298722593,0.05494713712677962,0.05214568153023724,0.02399823414994473,0.018233555168954307,0.013987484606721834,0.078164298722593,,46,GeneralPprimeFFprime,ramp_down,1.6181790021684617,-0.30536448561127255,-0.21692006747777257,-0.06202973015172133,-0.1409278815871081,0.4760382339865628,0.38272910460695847,0.003988067169135697,0.055215156493109444,157881,10.38
True,0.040541214364777645,-0.016082148462278845,-0.09420435428619389,-0.03488749503647792,-0.02040839195251465,-0.00460960001178945,0.02886389341095197,0.04004342518272841,0.09420435428619389,0.07133260052651158,0.13649104627202152,0.1888343280799945,0.1678884157885911,0.16347460284911008,0.07039235476649752,0.03171042859161999,0.04181876246923055,0.1888343280799945,,47,GeneralPprimeFFprime,ramp_down,1.5886909585318498,-0.3169787012541775,-0.20579912051661378,-0.0141891613120166,-0.1361386026296684,0.5043804223795639,0.40680689113032503,0.0022676287536092256,0.13079785603422228,157881,10.59
True,-0.2818478404414213,-0.21859302680398374,-0.0924659013748168,-0.02030485127956716,0.002032082438683025,-0.029056316858642184,-0.10329766273498553,-0.23177344744808703,0.2818478404414213,-0.0045155744999647585,-0.1306085176378214,-0.19467023491491098,-0.14117600128614144,0.014234425500035286,0.1489950491836891,0.20497708401588444,0.14609468872418602,0.20497708401588444,,0,GeneralPprimeFFprime,ramp_up,1.1507802052039344,0.0135884897727816,-0.025026067364350837,0.007303676450351157,-0.013257767322668096,0.026758892352121984,0.027063971101742374,0.0074340912700038295,0.2127465126028788,159812,0.527
True,-0.13317574838324608,-0.09994795077035823,-0.014283490180969194,-0.0051437425575979745,0.002640887640017908,-0.005043571907192179,-0.01706209182739249,-0.0914025021813476,0.13317574838324608,0.02378920624032621,-0.08205500419945083,-0.12324544242552393,-0.08407255337061892,-0.004907343070954084,0.08305517471178325,0.12389190562960095,0.08616822498083271,0.12389190562960095,,1,GeneralPprimeFFprime,ramp_up,1.2889478048507874,0.004746937797475201,-0.04092210604540506,0.0019334453685587937,-0.027819454231918235,0.09569999392747808,0.061039182537542244,0.007058868823492294,0.10947989997224705,159812,0.754
True,-0.12577821544618217,-0.04182266197975215,0.08218530994913098,-0.013168652309152762,-0.024016041817307432,-0.02255980762510723,-0.00047693252563485444,-0.06548875036178625,0.12577821544618217,0.044127334747463554,-0.1369402676038841,-0.25443835979643714,-0.09309858665426163,0.022481714747846215,0.12481861971225083,0.18947383551857588,0.11839769658625454,0.25443835979643714,,2,GeneralPprimeFFprime,ramp_up,1.5002065576880361,-0.012350494944075474,-0.08756923546077167,0.011016080253054405,-0.06655617378831567,0.25279658415344425,0.2072885860831039,0.0023422242011979415,0.15410280689704936,159812,0.981
True,-0.1197484483953013,-0.04371708424237131,0.044742115348152645,-0.03193229987572832,-0.042297912773754165,-0.06116897821924616,-0.13813161849975586,-0.14047162509460787,0.14047162509460787,-0.017401296715252146,-0.08121947448108446,-0.15104585220993016,-0.05742589209673188,-0.05176743492484093,-0.02858605111397261,-0.06645435189236837,-0.031225460527763205,0.15104585220993016,,3,GeneralPprimeFFprime,ramp_up,1.8294204631963704,-0.1561948879771608,-0.17643651672424576,0.004851462315029213,-0.1253647450490346,0.4945799896566883,0.3043452499603133,0.003896658564854007,0.11484555522487674,159812,1.208
True,-0.11722207658307449,-0.05012444051394027,0.03793604478363566,-0.028443413161543862,-0.03466903159902701,-0.03262331639751048,0.0022231803836278985,-0.06407372807093914,0.11722207658307449,0.02837315127253537,-0.07265419896252712,-0.15030693435529574,-0.03850800330080173,-0.0009360035764984787,0.026147451207744865,0.10324798052498874,0.06362990568479143,0.15030693435529574,,4,GeneralPprimeFFprime,ramp_up,1.7011263809799801,-0.11128970957065598,-0.16171521938193906,-0.009689099530172595,-0.1121472411349685,0.4472560251783848,0.37162226152098543,0.00459660797832222,0.09382859276822561,159812,1.435
True,-0.16675021087789732,-0.1347535111691318,-0.07021262645721427,-0.06186650264660498,-0.05788308667221331,-0.05062656579181146,-0.008817453816726495,-0.10045837040043448,0.16675021087789732,0.023905853461474225,-0.023993391752616722,-0.04795278265369107,-0.02383321283012063,0.0330040244385601,0.04783708638181827,0.11663422688563607,0.07148329454990143,0.11663422688563607,,5,GeneralPprimeFFprime,ramp_up,1.6731600169837513,-0.08389775578711492,-0.1412638331094748,0.044571783291569966,-0.11756711418592512,0.4940700299425932,0.36708135066831393,0.004105321143127208,0.1100626367375564,159812,1.6620000000000001
False,,,,,,,,,,,,,,,,,,,,6,err:IndexError,flat_top,,,,,,,,0.7816585042759218,,159812,1.889
False,,,,,,,,,,,,,,,,,,,,12,err:IndexError,flat_top,,,,,,,,0.9995328811378044,,159812,3.251
