shot,PF6_R2,PF6_n_valid
159793,-0.41604186555808,48
159799,-0.40853055594125665,48
158670,-0.39133894549603365,48
159455,-0.39071469961760097,47
159342,-0.38880786964538405,48
158888,-0.377999136686743,49
159006,-0.3778953189448788,48
159613,-0.372781292733146,49
159608,-0.36127022249754126,48
156480,-0.3576212942401762,49
159169,-0.3539616335092537,49
158500,-0.3376765519882037,48
157498,-0.32840448873594563,48
159386,-0.3243702082969264,49
159469,-0.32403448565903936,47
156455,-0.3193265295327947,49
158899,-0.28456377927865373,49
159607,-0.27910998858468306,54
158795,-0.2384908902553573,47
158794,-0.23193101192755794,48
159772,-0.22876362317563248,46
157413,-0.21998168177470645,48
157859,-0.21144159070347635,49
159821,-0.20444473248995632,50
159380,-0.19056582636755692,51
159172,-0.1603637815794945,48
159549,-0.15868560042602464,49
159421,-0.15715307163450198,48
159391,-0.15240907629198275,48
159170,-0.14238714700457566,49
159103,-0.13626041901797326,48
157797,-0.1327880035976019,49
159426,-0.12732324618558,48
156463,-0.12478577798109836,48
159546,-0.12076310749642993,48
159751,-0.11730610888951087,48
156692,-0.1084763706379619,49
157975,-0.10280093150361447,47
158797,-0.09006319772713156,47
157817,-0.07115423984943736,47
158886,-0.0469728341288409,48
159544,-0.04286370183903321,48
157772,-0.041390198430578895,48
159606,-0.03795199228630186,49
158209,-0.03062935174896153,49
159117,-0.028259856959379492,48
157281,-0.026241051009751493,47
158928,-0.014910204417790673,48
158834,-0.01408440424032098,48
158649,-0.006854343389640194,49
158751,-0.002717853805017656,52
